id;date;details;status;payment_method;payment_date;payment_amount
1;2022-06-12T19:51:23;RAM systemic;PAID;CASH_ON_DELIVERY;2022-06-13T00:17:18;5801
2;2022-06-12T14:05:34;Idaho calculating model;ISSUED;CREDIT_CARD;2022-06-12T16:20:31;75071
3;2022-06-12T12:51:32;program SQL;CANCELLED;CREDIT_CARD;2022-06-12T11:30:56;79944
4;2022-06-12T23:45:39;Soft Central;PAID;CASH_ON_DELIVERY;2022-06-12T21:01:20;8068
5;2022-06-13T03:52:31;Bhutanese;CANCELLED;PAYPAL;2022-06-13T05:42:04;87472
6;2022-06-12T16:28:59;Engineer Shirt Court;CANCELLED;PAYPAL;2022-06-13T08:13:26;62834
7;2022-06-13T04:01:21;program transmitting parse;PAID;CREDIT_CARD;2022-06-12T19:01:39;38509
8;2022-06-12T18:42:57;Dynamic iterate;PAID;CREDIT_CARD;2022-06-12T14:59:45;6085
9;2022-06-12T11:36:40;black Maine;PAID;CREDIT_CARD;2022-06-12T14:18:45;11254
10;2022-06-13T00:52:01;Lead Well;CANCELLED;PAYPAL;2022-06-12T14:09:09;85804
