id;placed_date;status;code
1;2022-06-13T03:15:21;COMPLETED;Electronics
2;2022-06-12T21:37:20;COMPLETED;payment PCI violet
3;2022-06-13T08:06:13;CANCELLED;background out-of-the-box withdrawal
4;2022-06-12T12:09:14;COMPLETED;Music real-time
5;2022-06-12T20:13:23;CANCELLED;Hat
6;2022-06-13T08:58:11;PENDING;solid navigating
7;2022-06-12T18:53:57;PENDING;Toys maroon
8;2022-06-13T07:43:31;COMPLETED;Developer
9;2022-06-12T15:11:55;COMPLETED;Credit Soft Cotton
10;2022-06-13T05:54:31;CANCELLED;contingency Bedfordshire
